gid,clave_de_centro_de_trabajo,nombre_de_centro_de_trabajo,latitud,longitud,tipo_de_vialidad,nombre_de_calle,numero_exterior,numero_interior,nombre_del_proveedor_mc,tipo_de_conectividad,estatus
114955T,09DJN0275M,PLUTARCO ELIAS CALLES,19.4450675,-99.21827333,CALLE,RETORNO MIGUEL LANTZ DURET,24,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114954T,09NDI0159G,CENDI GDF LEGARIA,19.45038139,-99.20322944,CALZADA,LEGARIA,373,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114953T,09NJN1085I,JARDIN DE NIÑOS AGUSTIN MELGAR,19.407269,-99.190754,AVENIDA,DEL CONSCRIPTO PUERTA,3,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114952T,09NDI0062V,CENDI SE SDN NIÑOS HEROES DE CHAPULTEPEC,19.43896083,-99.21652389,AVENIDA,GENERAL JUAN CABRAL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114951T,09NDI0576T,CENDI GDF SAN MIGUEL CHAPULTEPEC,19.39583111,-99.2262825,AVENIDA,CONSITUYENTES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114950T,09NDI0085F,CENDI IMSS 9 TIPO B,19.44470944,-99.21472361,CALLE,PRESA SALINILLAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114949T,09NDI0690L,CENDI NIÑOS HEROES DE CHAPULTEPEC NO. DOS,19.43511417,-99.21909583,CALLE,DOMICILIO CONOCIDO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114948T,09NDI0110O,CENDI SP LOTERIA NACIONAL,19.43694861,-99.14955972,CALLE,BASILIO BADILLO,45,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114947T,09NDI0003F,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 10,19.43916917,-99.15543056,CALLE,EZEQUIEL MONTES,111,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114946T,09DPR2342Y,RODOLFO MENENDEZ,19.43613944,-99.12889028,CALLE,SAN ILDEFONSO,59,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114945T,09DJN0311A,TONATIUH,19.43421139,-99.12642694,CALLE,REPÚBLICA DE GUATEMALA,124,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114944T,09DBN0094U,PABLO MORENO,19.43935333,-99.13262083,CALLE,REPÚBLICA DE BOLIVIA,12,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114943T,09DES4007B,JOSE MANUEL RAMOS,19.42580944,-99.13526833,CALLE,5 DE FEBRERO,90,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114942T,09DES4006C,CARLOTA JASO,19.43638111,-99.12997167,CALLE,SAN IDELFONSO,46,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114941T,09DPR2146W,REPUBLICA DE PANAMA,19.43741444,-99.12927611,CALLE,CARMEN,39,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114940T,09NDI0688X,CENDI GLORIA LEDUC DE AGÜERO,19.43439583,-99.14310611,AVENIDA,JUAREZ,8,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114939T,09NDI0622O,CENDI GDF PINGUI,19.43702889,-99.12835028,CALLE,REPÚBLICA DE VENEZUELA,72,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114938T,09NDI0462R,CENDI ARTICULO 123 CONSTITUCIONAL DE LA SCJ DE LA NACION,19.42300778,-99.13681139,CALLE,CHIMALPOPOCA,112,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114937T,09NDI0331Z,CENDI SE PRESIDENCIA DE LA REPUBLICA,19.42682389,-99.12953,CALLE,REPÚBLICA DE GUATEMALA,84,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114936T,09NDI0306Z,CENDI ING. FERNANDO ESPINO AREVALO,19.42801111,-99.14393528,CALLE,DELICIAS,45,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114935T,09NDI0266P,CENDI PUGIBET,19.42972722,-99.14420583,CALLE,PUGIBET,21,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114934T,09NDI0258G,CENDI PROFA GRISELDA ALVAREZ,19.44085,-99.13554583,CALLE,HONDURAS,43,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114933T,09NDI0256I,CENDI SAN LUCAS,19.42435722,-99.13169361,CALLE,NEZAHUALCÓYOTL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114932T,09NDI0251N,CENDI MIXCALCO,19.43449306,-99.12584167,CALLE,MANUEL DOBLADO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114931T,09NDI0097K,CENDI IMSS 23 TIPO B,19.42845861,-99.14847056,CALLE,BALDERAS,126,A,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114930T,09DES0245B,ANGEL TRIAS ALVAREZ,19.44243083,-99.13225361,CALLE,REPÚBLICA DE ECUADOR,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114929T,09NDI0391N,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 12,19.45137833,-99.1408425,CALLE,LERDO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114928T,09NDI0100H,CENDI IMSS 26 TIPO B,19.45453167,-99.14030667,CALLE,DEPORTIVO 5 DE MAYO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114927T,09NDI0019G,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 11,19.45701639,-99.14736806,CALLE,MANUEL GONZÁLEZ,430,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114926T,09UDI0002Q,CENDI MASCARONES UNAM,19.44116111,-99.12968528,CALLE,AMADO NERVO,72,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114925T,09NDI0395J,CENDI IMSS 21 TIPO B,19.43329556,-99.15982667,CALLE,SADI CARNOT,113 Y 115,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114924T,09DJN0728X,XOCHIPILLI,19.42040667,-99.13579194,CALLE,5 DE FEBRERO,188,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114923T,09NDI0082I,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 151,19.42078556,-99.13427528,CALLE,LUCAS ALAMAN,178,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114922T,09DSN0003M,BATALLON DE SAN PATRICIO,19.42493833,-99.15812111,AVENIDA,CHAPULTEPEC,183,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114921T,09DSN0002N,GUADALUPE RUSS MONDRAGON,19.42727722,-99.15755722,CALLE,LIVERPOOL,40,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114920T,09DJN0726Z,GUADALUPE CAMPOS SOLIS,19.42857083,-99.15405944,CALLE,ABRAHAM GONZÁLEZ,80,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114919T,09NDI0261U,CENDI INSURGENTES,19.42454778,-99.1656025,CALLE,LONDRES,154,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114918T,09NDI0248Z,CENDI JUAREZ,19.42564417,-99.15509528,AVENIDA,CHAPULTEPEC,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114917T,09DPR2420L,FRAY LUIS DE LEON,19.442175,-99.14646222,CALLE,PEDRO MORENO,141,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114916T,09DBN0121A,DR. BELISARIO DOMINGUEZ,19.4390075,-99.14722778,CALLE,HEROES,25,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114915T,09DPR2321L,IGNACIO M. ALTAMIRANO,19.43946583,-99.14712333,CALLE,HEROES,27,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114914T,09DJN0749J,MA. DE LA LUZ RIVERA DE YSUNZA,19.44570361,-99.14174333,CERRADA,DE CAMELIA,9,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114913T,09DJN0744O,AMADO NERVO,19.44384917,-99.14453889,CALLE,MOCTEZUMA,123,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114912T,09DJN0743P,HERBERT SPENCER,19.44102806,-99.14677056,CALLE,HEROES,53,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114911T,09NDI0535T,CENDI GDF NO. 6,19.44289056,-99.15221444,CALLE,LUIS D. COLOSIO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114910T,09NDI0488Z,CENDI SE GOBERNACION MARGARITA MAZA JUAREZ,19.44044972,-99.14709389,CALLE,HEROES,44,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114909T,09NDI0377U,CENDI P.G.R.,19.44082194,-99.14128139,CALLE,PEDRO MORENO,109,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114908T,09NDI0267O,CENDI MARTINEZ DE LA TORRE,19.44558556,-99.14450778,CALLE,DEGOLLADO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114907T,09NDI0106B,CENDI IMSS 32 TIPO B,19.45276583,-99.14741917,CALLE,RICARDO F MAGON Y ZARAGOZA,298,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114906T,09NDI0009Z,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 95,19.44012722,-99.14604889,CALLE,ZARCO,47,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114905T,09NDI0005D,CENDI SE S.R.E. ROSARIO CASTELLANOS,19.44979194,-99.13705278,CALLE,RICARDO FLORES MAGÓN,2,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114904T,09DPR1319Q,REVOLUCION,19.42712667,-99.14809361,CALLE,ARCOS DE BELÉN,82,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114903T,09DJN0742Q,ANEXO CENTRO ESCOLAR REVOLUCION,19.42695917,-99.14748833,CALLE,ARCOS DE BELÉN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114902T,09NDI0581E,CENDI IMSS 46 TIPO B,19.43743972,-99.16072611,CALLE,GUILLERMO PRIETO,18,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114901T,09NDI0477T,CENDI IMSS 35 TIPO B,19.42290083,-99.17065611,AVENIDA,SEVILLA,33,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114900T,09NDI0257H,CENDI ISABEL LA CATOLICA,19.42713,-99.13712778,CALLE,BERNARDO COUTO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114899T,09DPR2465H,ENRIQUE C. REBSAMEN,19.25456972,-99.01170694,CALLE,IGNACIO ZARAGOZA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114898T,09DPR2684U,CRISTOBAL COLON,19.24846694,-99.12363667,AVENIDA,DEL TRABAJO Y CUAUHTEMOC,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114897T,09DJN1252I,TLAHUIZ,19.24752167,-99.11987167,PROLONGACIÓN,AQUILES SERDAN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114896T,09NDI0665M,CENDI GDF SANTIAGO TEPALCATLALPAN,19.24580583,-99.11869333,CALLE,2DA. DE AQUILES SERDÁN,10,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114895T,09DPR2720I,CARLOS GARCIA,19.24382083,-99.09341167,CALLE,NARCISO MENDOZA,19,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114894T,09DSN0080R,NICOLAS BRAVO,19.263462,-99.104913,CALLE,ISIDRO TAPIA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114893T,09DPR2013F,JUAREZ Y CONSTITUCION,19.263462,-99.104913,CALLE,FRANCISCO PRESA 3,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114856T,09DES4180J,OCTAVIO PAZ,19.24612778,-99.11409639,CAMINO,CAMINO REAL MATEO Y ACUEDUCTO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114855T,09DJN1221P,CALLIALTEPEC,19.263462,-99.104913,CALLE,PARAJE DE TLACHIULTEPEC,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114854T,09DJN1212H,IGNACIO RAMIREZ,19.25430944,-99.01106528,CALLE,HERMENEGILDO GALEANA,11,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114853T,09DST0112D,ESCUELA SECUNDARIA TECNICA 112,19.27162611,-99.23578833,CERRADA,SABINO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
114852T,09DST0019Y,ESCUELA SECUNDARIA TECNICA 19,19.2684,-99.22362,CALLE,CUERVO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
114851T,09DPR1997O,TIBURCIO MONTIEL,19.25331222,-99.17312778,CALLE,5 DE MAYO,55,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114850T,09DPR1988G,CAJEME,19.25074806,-99.17150917,CALLE,MORELOS,10,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114849T,09DJN0559S,CUAUHTEMOC,19.25243222,-99.1734825,CALLE,REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
114848T,09DES0324O,ALFONSO CASO ANDRADE,19.28225528,-99.03974333,AVENIDA,GUILLERMO PRIETO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114847T,09DSN0084N,JUAN PALOMO MARTINEZ,19.29377694,-98.99623194,EJE VIAL,10 SUR,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114846T,09DJN1382B,YOACALLI,19.28544167,-98.99672667,CALLE,MAR DE LOS VAPORES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114845T,09DES4304B,JUAN RULFO,19.30500056,-99.04204278,CALLE,MANUEL M LÓPEZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114844T,09DJN1056G,LIC. JESUS REYES HEROLES,19.29387611,-99.05854083,AVENIDA,GITANA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114843T,09DES4154L,REPUBLICA DE CUBA,19.29158861,-99.01321972,CALLE,OJO DE AGUA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114842T,09DJN1408T,ARBOLEDAS,19.31145528,-99.04744611,CALLE,SANTA CRUZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114841T,09DPR2074T,GREGORIO TORRES QUINTERO,19.27072972,-98.99850111,CALLE,FRANCISCO JAVIER MINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114840T,09DPR4003M,LUIS PENICHE VALLADO,19.31221972,-99.03796306,AVENIDA,CECILIO ACOSTA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114839T,09DJN1383A,CHANTICO,19.30436833,-99.04056472,CALLE,FF.CC. RAFAEL ATLIXCO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114838T,09DJN1206X,CITLALI,19.29621889,-99.03612167,CARRETERA,CARRETERA TLÁHUAC KILÓMETRO 22.5,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,VISITA FALLIDA
114769T,09DPR2056D,PLAN DE GUADALUPE,19.29681722,-99.03725389,CALLE,RICARDO FLORES MAGÓN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114760T,09DPR5133M,JAIME SABINES,19.30328917,-99.03748806,AVENIDA,SAN RAFAEL ATLIXCO,3490,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114789T,09DPR0019M,DANIEL COSIO VILLEGAS,19.31200667,-99.03766361,AVENIDA,CECILIO ACOSTA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114788T,09DST0102X,ESCUELA SECUNDARIA TECNICA 102,19.270566,-99.004846,CALLE,GUADALAJARA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114786T,09DJN1243A,JUAN E. HERNANDEZ Y DAVALOS,19.24615417,-98.99540583,CALLE,MIGUEL NEGRETE,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114775T,09DES4162U,FRANCISCO MONTERDE,19.24223083,-98.99336222,CALLE,ÁLVARO OBREGÓN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114772T,09DJN1163P,TEZCATLIPOCA,19.29201611,-99.03919167,CALLE,ADOLFO UNDA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114771T,09DPR2575N,PLAN DE AYALA,19.29394111,-99.01454556,CALLE,VICENTE GUERRERO,8,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114770T,09DJN1397D,YAXCHE,19.29723833,-99.05666361,CALLE,GITANA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114768T,09DJN0690A,BRIGIDA GARCIA DE JUAREZ,19.29708611,-99.06161056,CALLE,JOSÉ LUGO GUERRERO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114766T,09DPR2251G,MA. MAGDALENA PACHECO BLANCO,19.29682028,-99.06253833,CALLE,LA TURBA,198,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114765T,09NDI0115J,CENDI GDF TLAHUAC,19.26812472,-99.00476333,CALLE,HERMENEGILDO GALEANA,122,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114764T,09DPR4513O,SALVADOR NAVA MARTINEZ,19.37079028,-99.24064806,AVENIDA,DIAZ ORDAZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114763T,09DJN1278Q,YOLOPATLI,19.3706825,-99.2408075,AVENIDA,GUSTAVO DÍAZ ORDAZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114761T,09NDI0650K,CENDI CADI JALALPA,19.4,-99.2,AVENIDA,DIAZ ORDAZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114759T,09NDI0374X,CENDI IMSS V TIPO A,19.38230861,-99.23883778,CALLE,PLAZA DE LAS FLORES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114758T,09DPR5016X,JOSE MARIA TAPIA FREYDING,19.35737194,-99.254565,CALLE,MORELOS,19,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114756T,09DES4231Z,SIGMUND FREUD,19.38428583,-99.22987028,AVENIDA,VASCO DE QUIROGA,1355,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114755T,09NDI0091Q,CENDI IMSS 16 TIPO B,19.4,-99.2,CALLE,PEDRO LUIS OGAZON,80,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114754T,09NDI0652I,CENDI CADI EL POCITO,19.38155083,-99.20901222,AVENIDA,MINAS,80,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114753T,09NDI0630X,CENDI GDF BARRIO NORTE,19.37973667,-99.204665,CALLE,ADOLFO LÓPEZ MATEOS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114752T,09DES4009Z,TEUTLI,19.21788917,-98.9956025,AVENIDA,DE LAS PALMAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114743T,09DPR4103L,ROSA VILLANUEVA RAMOS,19.21414583,-98.99221083,CALLE,BARRANCA SECA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114785T,09DJN1381C,MA. CRISTINA TOVAR MENA,19.21443972,-98.9928275,CALLE,BARRANCA SECA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114780T,09DPR5126C,RAMON G. BONFIL,19.21397972,-98.99219,CALLE,BARRANCA SECA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114778T,09DJN0689L,AMELIA FIERRO BANDALA,19.21972278,-98.99588167,AVENIDA,CUAUHTEMOC,38,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114776T,09NDI0640D,CENDI GDF YOLCAYOTL IN TOCONEHUAN,19.21698417,-98.99015083,AVENIDA,5 DE MAYO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114774T,09DJN1431U,MARIA IZQUIERDO,19.36813639,-99.03579778,CALLE,BATALLA 5 DE MAYO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114757T,09DJN1333T,MARIA IZQUIERDO,19.36789667,-99.035925,CALLE,BATALLA 5 DE MAYO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114742T,09DJN0676H,MOLINXOCHIO,19.37056861,-99.06892222,CALLE,GABRIELA MISTRAL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
